Song ,Album Title,Artist,Duration,Genre,Date
Seadrift,live at WFMU 6/2/08 on Irene Trudel's show,Arborea,174,Folk,2008-12-04 19:25:27
Cumbia Infierno,Live at WFMU on TSP 10/18/2008,La Troba Kung Fú ,594,International,2008-12-04 20:18:14
Kodak Ghosts,Live at WFMU on Hatch's show Dec 11 2005,Michael Chapman,361,Folk,2005-12-12 00:00:00
Dracula Mountain,Wonderful Rainbow,Lightning Bolt,310,Rock,2003-01-01 00:00:00
13 Monsters,Ride the Skies,Lightning Bolt,169,Rock,2008-11-26 02:31:33
I Feel Evils,Painted Shadows,Plastic Crimewave Sound,248,Rock,2008-11-26 02:56:29
Memories,Tommy Jay's Tall Tales Of Trauma,Tommy Jay,202,Folk,2008-11-26 03:12:06
My Burning,Seven New Songs,Mount Eerie,161,Folk,2004-05-01 00:00:00
Zombie,They Lured Us Into the Basement,Ric Royer & G. Lucas Crane,91,Experimental,2008-11-26 03:02:08
Ghost Science,Teeth Mtn CD-R,Teeth Mountain,132,Experimental,2008-11-26 03:04:59
Soft Beast,Teeth Mtn CD-R,Teeth Mountain,275,Experimental,2008-11-26 03:04:59
Morning Song,This is Fire,Spires that in the Sunset Rise,65,Folk,2014-12-09 01:18:18
Java Pop,Spires that in the Sunset Rise,Curse the Traced Bird,286,Folk,2008-11-26 03:03:17
The White Mice,Assphixxxeateshun,White Mice,200,Experimental,2008-11-26 03:18:33
Cazador,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,Pistolera,236,International,2008-12-04 20:47:04
Mentirosas,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2009,Pistolera,227,International,2009-12-07 20:47:05
Nuevos Ojos,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2010,Pistolera,259,International,2010-05-018 20:47:06
Fire To Burn,Half Japanese Live WFMU SXSW Showcase at Spiro's in Austin TX on 3/14/2008,Half Japanese,159,Rock,2008-12-23 12:43:57
Steak,Live at WFMU on Terre T's Show on 6/21/2002,Peelander Z,243,Rock,2008-12-30 09:00:02
Haricots,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,Yan Yalego,215,International,2008-12-04 21:18:41
I've Got a Love,Harvey Milk Live WFMU SXSW Showcase at Spiro's in Austin TX on 3/14/2008,Harvey Milk,242,Rock,2008-12-23 13:10:59
Russo Trap,Live on WFMU,Polka Madre,141,International,2008-12-04 20:49:15
Firecracker,Half Japanese Live WFMU SXSW Showcase at Spiro's in Austin TX on 3/14/2008,Half Japanese,183,Rock,2008-12-23 12:35:32
Too Much Fun,Half Japanese Live WFMU SXSW Showcase at Spiro's in Austin TX on 3/14/2008,Half Japanese,121,Rock,2008-12-23 12:35:33
No Big Deal,Half Japanese Live WFMU SXSW Showcase at Spiro's in Austin TX on 3/14/2008,Half Japanese,131,Rock,2008-12-23 12:35:34
Bistoon,Live at WFMU on Rob Weisberg's Show on 10/4/2008,Mamak Khadem,345,International,2009-01-02 12:36:38
Ravens,Live at WFMU on Irene Trudel's show 3/31/2008,Nalle,193,Experimental,2014-11-19 17:25:59
Soleade,Live at WFMU on Irene Trudel's Show on 6/9/2008,Peter Walker,181,Experimental,2015-06-18 23:02:35
Funeral Brahms,Live on WFMU,Polka Madre,690,Pop,2011-09-04 10:59:23
Amsterdam,Live on WFMU,Polka Madre,200,Pop,2011-09-04 10:59:24
Clammy Hands,Live on WFMU,Polka Madre,183,Pop,2011-09-04 10:59:25
Interview,Live on WFMUApril 2007,Sounds of Taraab,124,Hip-Hop,2012-07-19 07:28:41
Five Foot Two,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,Yan Yalego,277,International,2008-12-04 21:18:37
Crossover,live at ATP,EPMD,173,Hip-Hop,2009-02-18 10:13:56
Autumn Flow,Live at WFMU on Irene Trudel's show 10/27/2008,Lior,223,Folk,2008-12-23 12:35:33
Dresscode,Live at WFMU on Airborne Event 6/8/2008,Japanische Kampfhorspiele,301,Rock,2011-09-04 10:59:25
Rumor,Zikrayat Live on WFMU from the 2009 Golden Festival in NYC,Zikrayat,331,International,2009-01-17 00:00:00
Florida Rain,Live at WFMU on Irene Trudel's show 6/8/2008,Mittimus,153,Folk,2009-02-18 11:45:01
Preface,'Percussion' As Percussion,Jarrod Fowler,300,Experimental,2009-02-23 07:24:06
Rampage,live at ATP,EPMD,173,Hip-Hop,2009-02-18 10:13:56
Sunshine,Live at WFMU on Dan Bodah's Show on 4/6/2008,Cath and Phil Tyler,228,Folk,2008-03-27 00:00:00
Stars,Live at WFMU on Keili's Show 11/28/08,Sakura Madams,165,Rock,2009-02-19 10:33:23
Drone Trailer,Live at WFMU on Dan Bodah's Show 8/17/2008,MV + EE and Willie Lane,475,Folk,2009-02-26 12:50:32
track 1,Kavala Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Kavala Brass Band,337,International,2009-02-17 12:30:42
track 2,Kavala Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Kavala Brass Band,344,International,2009-02-17 12:30:43
track 3,Kavala Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Kavala Brass Band,277,International,2009-02-17 12:30:44
track 4,Kavala Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Kavala Brass Band,261,International,2009-02-17 12:30:45
track 5,Kavala Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Kavala Brass Band,290,International,2009-02-17 12:30:45
Western States,Live at WFMU on Irene Trudel's show 6/8/2008,Mittimus,314,Folk,2009-02-25 06:53:08
Are You the One?,Live at WFMU on Irene Trudel's show 6/8/2009,Mittimus,275,Folk,2009-02-25 06:53:09
Leventikos,Raya Brass Band Live on WFMU from the 2009 Golden Festival in NYC,Raya Brass Band,342,International,2009-02-17 13:02:06
Taheya,Zikrayat Live on WFMU from the 2009 Golden Festival in NYC,Zikrayat,340,International,2009-02-17 12:54:42
Richter Scale,live at ATP,EPMD,80,Hip-Hop,2009-02-18 10:13:58
Lost in Your,Live at WFMU on Irene Trudel's show 10/27/2008,Lior,159,Folk,2009-02-26 12:37:19
This Old Love,Live at WFMU on Irene Trudel's show 10/27/2009,Lior,189,Folk,2009-02-26 12:37:20
Fisherman's Girl,Live at WFMU on Dan Bodah's Show on 4/6/2008,Cath and Phil Tyler,195,Folk,2009-02-25 12:46:28
Sarki,Sheqer Live on WFMU from the 2009 Golden Festival in NYC,Sheqer,440,International,2009-02-17 13:54:55
Somebody To Love,Live at WFMU on Keili's Show 11/28/08,Sakura Madams,215,Rock,2009-02-19 10:33:24
The Hungry Stones,Live at WFMU on Trouble's show 2/19/2009,MV + EE,157,Folk,2009-02-18 07:43:01
Christiania,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,286,Folk,2009-01-21 08:09:05
Circles,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,197,Folk,2009-01-21 08:09:06
Running,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,252,Folk,2009-01-21 08:09:07
Copenhagen,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,261,Folk,2009-01-21 08:09:08
Cover Up,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,195,Folk,2009-01-21 08:09:09
Labyrinth,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,243,Folk,2009-01-21 08:09:10
Rock and Tree,In Her Dream: Bob Wiseman Sings Wrench Tuttle,Bob Wiseman,231,Folk,2009-02-05 22:06:03
alone now,Three Forks,The Apartment,178,Experimental,2009-01-30 08:39:59
Classical Homicide,Live at WFMU on Mike's Show on 7/11/2002,Dälek,170,Folk,2016-05-04 15:47:49
Hartford,Live at WFMU on Bethany's Show on 9/10/2006,Mary Halvorson and Jessica Pavone,199,Folk,2009-01-26 07:33:34
Say What You Feel,Live at WFMU on Michael Goodstein's Show on 9/13/2004,caUSE co-MOTION,95,Pop,2009-01-21 13:24:19
So Long Silver Lining,Live at WFMU on Mike's Show on 11/10/2002,New Bomb Turks,210,Rock,2009-01-06 13:30:01
The Clouds,Live at WFMU on Bethany's Show on 9/10/2006,Live at WFMU on Bethany's Show on 9/10/2006,216,Folk,2009-01-26 07:33:30
The Uncommon Man,Live at WFMU 5/5/08 on Irene Trudel's show,Peter Biedermann,279,Folk,2009-01-21 08:09:10
When It Rains,Live at WFMU on Irene Trudel's Show 12/8/08,Howard Fishman,184,Folk,2009-02-09 10:33:04
Bedoin Song,Live at WFMU on Irene Trudel's show 10/27/2008,Lior,419,Folk,2008-12-04 20:22:24
Beirut,live at WFMU 6/2/08 on Irene Trudel's show,Arborea,166,Folk,2008-12-04 19:25:23
Forewarned,live at WFMU 6/2/08 on Irene Trudel's show,Arborea,205,Folk,2008-12-04 19:25:24
Caddo Lake,Live at WFMU on Irene Trudel's show Oct 13 2008,Michael Chapman,337,Folk,2008-12-04 20:32:32
Calor Calor,Live at WFMU on TSP 10/18/2008,La Troba Kung Fú ,258,International,2008-12-04 20:18:32
Click Click Bang Bang,Live at WFMU // Three Chord Monte 6/19/2008,Miss Derringer,150,Rock,2008-12-04 20:34:59
Cosmic Sing-a-long,Live at WFMU on Liz Berg's Show on 6/13/2008,Cryptacize,130,Experimental,2011-03-01 11:20:41
Days of Summer,Live on WFMU,Fallen Leaves,184,Rock,2008-09-13 00:00:00
Dust Devils,Live at WFMU on Irene Trudel's show Oct 13 2008,Michael Chapman,158,Folk,2008-12-04 20:32:46
Fahey's Flag,Live at WFMU on Hatch's show Dec 11 2005,Michael Chapman,118,Folk,2008-12-04 20:32:49
Memhpis in Winter,Live at WFMU on Hatch's show Dec 11 2006,Michael Chapman,253,Folk,2008-12-04 20:32:50
Fragrant Rota,Live at WFMU 9/10/07 on Irene Trudel's show,Michael Holt,194,Folk,2008-12-04 20:33:15
Gypsy Csardas and Men's Dances from Kalotaszeg,MetroFolk Live at Barbes on Rob Weisberg's Show 5/17/2008,MetroFolk,374,International,2008-12-04 20:30:02
Heaven Is Human,Live at WFMU on Liz Berg's Show on 6/13/2008,Cryptacize,170,Pop,2008-12-04 19:52:29
Hiawatha's Lullaby,Live at WFMU 9/10/07 on Irene Trudel's show,Michael Holt,157,Folk,2008-12-04 20:33:18
Invitita and de Cingheri from Transylvania,MetroFolk Live at Barbes on Rob Weisberg's Show 5/17/2008,MetroFolk,467,International,2008-12-05 00:00:00
La Canco de Lladre,Live at WFMU on TSP 10/18/2008,La Troba Kung Fú ,636,International,2008-12-04 20:18:20
Land,Live at WFMU 9/19/08,Ai Aso,248,Folk,2008-12-04 19:24:37
Lavender,Live at WFMU 9/19/09,Ai Aso,217,Folk,2008-12-04 19:24:38
Little Eyes,Live at WFMU 10/30/07 on Hatch's Show,Ed Askew,139,Folk,2008-12-04 20:00:43
New Spell,Live at WFMU on Liz Berg's Show on 6/13/2008,Cryptacize,247,Experimental,2011-03-01 11:20:41
Pow Wow,Live at WFMU on Liz B's Show on 7/7/2008,Indian Jewelry,318,Rock,2008-12-04 20:12:04
Rhode Island Freakout,Live at WFMU April 22 2003,Kinski,282,Rock,2008-12-04 20:17:00
Rock Rumba,Live at WFMU on TSP 10/18/2008,La Troba Kung Fú ,423,International,2008-12-04 20:18:35
Shelley Winters Overdrive,Live at WFMU April 22 2003,Kinski,269,Rock,2008-12-04 20:17:00
Snowy Parts of Scandinavia,Live at WFMU April 22 2004,Kinski,327,Rock,2008-12-04 20:17:01
Sometimes,Live at WFMU on Hatch's show Dec 11 2005,Michael Chapman,221,Folk,2008-12-04 20:32:49
Song for Obol,live at WFMU 6/2/08 on Irene Trudel's show,Arborea,288,Folk,2008-12-04 19:25:19
Swans,Live at WFMU on Liz B's Show on 7/7/2008,Indian Jewelry,202,Rock,2008-12-04 20:12:06
Tee Te Te,Live at WFMU 9/19/08,Ai Aso,354,Folk,2008-12-04 19:24:25
Temporary Famine Ship,Live at WFMU on Liz B's Show on 7/7/2008,Indian Jewelry,370,Rock,2008-12-04 20:12:11
Thicker Than A Smokey,Live at WFMU July 2005,Gary Higgins,245,Folk,2008-12-04 20:10:11
Volant,Live at WFMU on TSP 10/18/2008,La Troba Kung Fú ,445,International,2008-12-04 20:18:26
Walking on the Water,Live at WFMU on Liz B's Show on 7/7/2008,Indian Jewelry,240,Rock,2008-12-04 20:12:01
Waves of Second Guessing,Live at WFMU April 22 2003,Kinski,444,Rock,2008-12-04 20:16:56
We'll Never Dream Again,Live at WFMU on Liz Berg's Show on 6/13/2008,Cryptacize,247,Pop,2008-12-04 19:52:45
West Alabama,Live at WFMU on Liz B's Show on 7/7/2008,Indian Jewelry,289,Rock,2008-12-04 20:12:13
2 Blonde Braids,Seven New Songs,Mount Eerie,221,Folk,2008-11-26 02:40:56
Black Jerusalem,Teeth Mtn CD-R,Teeth Mountain,341,Experimental,2008-11-26 03:04:48
Buzz Chant,Spleencoffin presents: Ladyz in Noyz,U.S. Girls,216,Experimental,2008-11-26 03:13:57
Calling For You,Inside the Skate Scandal,The Twin Atlas,167,Folk,2008-11-26 03:13:48
Clouds,This is Fire,Spires that in the Sunset Rise,287,Rock,2009-05-28 12:52:14
Cocksuckerbastardmotherfucker,"Workingman / Cocksuckerbastardmotherfucker 7""",Necropolis,149,Rock,2008-11-26 02:47:19
Equus Haar,Curse the Traced Bird,Spires that in the Sunset Rise,288,Folk,2008-11-26 03:03:20
Feasting on Energy,High Beams,Magic Lantern,472,Experimental,2008-11-26 02:33:37
Guns of Thunder,Pierced Arrows,Pierced Arrows,232,Rock,2008-11-26 02:55:45
Happy At The Wheel,Magic Car Wash,The Twin Atlas,170,Folk,2008-11-26 03:13:49
Harken Sunshine,The Phynx,Sun Araw,269,Rock,2008-11-26 03:04:09
Helicopter de Cristal,Norteñas,Lucky Dragons,234,Experimental,2008-11-26 02:33:02
Hrz,Wackity Schmackity Doo,So Cow,68,pop,2008-11-26 02:59:54
Inis Meain,Wackity Schmackity Doo,So Cow,114,pop,2008-11-26 02:59:55
I Do What I Do,Introducing The Yolks,The Yolks,158,Rock,2008-11-26 03:11:42
In the Piney's,In the Pineys,Strapping Fieldhands,212,Rock,2008-11-26 03:12:02
Keinsein,Teeth Mtn CD-R,Teeth Mountain,276,Experimental,2007-01-01 00:00:00
Kids In Cars,Peanut Butter Oven EP,Thee Oh Sees,303,Rock,2008-11-26 03:12:02
Nam Nhi-tu,Black Mirror: Reflections In Global Musics (1915-1955),M. Nguyen Van Minh-Con,187,International,2008-11-26 02:33:33
No Business,No Business,Negativland,253,Experimental,2008-11-26 02:47:33
Onda Tocadisco,Norteñas,Lucky Dragons,93,Experimental,2008-11-26 02:33:15
Only Fools and Horses Theme,Wackity Schmackity Doo,So Cow,127,pop,2008-11-26 03:00:42
Outskirts,Wackity Schmackity Doo,So Cow,211,pop,2008-11-26 03:00:43
Painful Corazon,Norteñas,Lucky Dragons,78,Experimental,2008-11-26 02:33:15
Rare Vodka from the Fourteenth Century,Opulence,Mary Halvorson and Weasel Walter,327,Rock,2008-11-26 02:34:56
Reindeer Dance,Vectors,Rainbro,216,Electronic,2008-11-26 03:00:45
Richard Nixon Died Today,Thigmotactic,Negativland,145,Experimental,2008-11-26 02:47:30
Rolling In The Green,Cover The Earth,Nautical Almanac,307,Experimental,2009-02-18 08:03:20
Rufiji,Zanzibar New York,Sounds of Taraab,347,International,2008-11-26 03:02:04
Bashraf Salama,Zanzibar New York,Sounds of Taraab,223,International,2008-11-26 03:02:05
Daka Kozi Manowe,Zanzibar New York,Sounds of Taraab,123,International,2008-11-26 03:02:06
Eni Wana Damu,Zanzibar New York,Sounds of Taraab,423,International,2008-11-26 03:02:07
Lala Mpenzi Lala,Zanzibar New York,Sounds of Taraab,254,International,2008-11-26 03:02:08
Mahaba Wa Taka Nini,Zanzibar New York,Sounds of Taraab,265,International,2008-11-26 03:02:09
Mapenzi Matamu,Zanzibar New York,Sounds of Taraab,522,International,2008-11-26 03:02:10
Nie Zama Nie Sema,Zanzibar New York,Sounds of Taraab,246,International,2008-11-26 03:02:11
Sishituki,Zanzibar New York,Sounds of Taraab,189,International,2008-11-26 03:02:12
Unalo,Zanzibar New York,Sounds of Taraab,221,International,2008-11-26 03:02:13
She Fell Through the Trees,Egg Soldiers,Softboiled Eggies,282,pop,2008-11-26 03:00:53
So High,Egg Soldiers,Softboiled Eggies,200,pop,2008-11-26 03:00:46
So Thereby...and furthermore...thus henceforth...Mono,Galapagos Momentum,Upsilon Acrux,233,Rock,2008-11-26 03:14:00
Song of The Stations,In The Valley,Samara Lubelski,360,Folk,2008-11-26 03:04:06
Tell The Police The Truth,Kontpab,Mahjongg,315,Rock,2008-11-26 02:33:48
Time Fist,Bored Fortress Single Series Split w. Charalambides,Pocahaunted,423,Experimental,2008-11-26 02:58:24
Un Lagrima en la Discoteca,Norteñas,Lucky Dragons,110,Experimental,2008-11-26 02:33:08
With My Hands Out,Seven New Songs,Mount Eerie,212,Folk,2008-11-26 02:40:52
Wooly Mammoth's Absence,Seven New Songs,Mount Eerie,278,Folk,2008-11-26 02:40:53
in sleepy electricity,sleepy,junior85,111,Electronic,2009-03-04 12:03:50
heartbreaker,Dark Falcon,Lucky Dragons,123,Experimental,2009-03-06 13:40:29
new homes,Dark Falcon,Lucky Dragons,211,Experimental,2009-03-06 13:40:30
cherchez le dragon,Dark Falcon,Lucky Dragons,189,Experimental,2009-03-06 13:40:31
about peter,Dark Falcon,Lucky Dragons,145,Experimental,2009-03-06 13:40:32
with new trees,Dark Falcon,Lucky Dragons,208,Experimental,2009-03-06 13:40:33
resurrect dead on planet jupiter,Dark Falcon,Lucky Dragons,175,Experimental,2009-03-06 13:40:34
it's hard to fall asleep,Dark Falcon,Lucky Dragons,115,Experimental,2009-03-06 13:40:35
i'd play at the rotunda,Dark Falcon,Lucky Dragons,224,Experimental,2009-03-06 13:40:36
My Room Is White,Live at WFMU on Trouble's Show on 3/03/2005,Mia Doi Todd,234,Folk,2009-03-13 12:30:28
I gave you my home,Live at WFMU on Trouble's Show on 3/03/2006,Mia Doi Todd,263,Folk,2009-03-13 12:30:29
The Way,Live at WFMU on Trouble's Show on 3/03/2007,Mia Doi Todd,217,Folk,2009-03-13 12:30:30
What If We Do,Live at WFMU on Trouble's Show on 3/03/2008,Mia Doi Todd,179,Folk,2009-03-13 12:30:31
Saved,Live at WFMU on the Cherry Blossom Clinic 12/20/2008,Boss Hog,224,Rock,2009-03-19 08:16:13
First Movement,Symphony #2: Elementalities,Z'EV,758,Experimental,2015-06-22 08:18:41
